ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	6056.471365151241	110690.67618476256	
1	6090.163977827688	109815.61995830183	
2	6091.820158945432	106181.71903679115	
3	6211.735831831083	104294.8359528862	
4	6113.011038696696	103601.80602933401	
5	6124.217551358524	99316.19838884445	
6	6113.062075598113	99545.53412940213	
7	6204.796946990224	96342.5705983029	
8	6130.528445557107	94741.91550307206	
9	6088.014602106452	97684.4861489693	
10	5939.7478085058565	88524.35143842506	
11	5921.488329166478	83624.48521158192	
12	5935.301512828429	85621.34610471186	
13	6164.206795229451	79600.34936938794	
14	6234.110456349712	82170.3215144542	
15	5945.067185955211	81958.00622700606	
16	6247.7612714317065	81237.95568665667	
17	5981.965065137115	78126.26785497897	
18	6054.089012437412	76956.2157722247	
19	6226.629573943256	81784.24473825574	
20	6030.290647526343	84587.08858674396	
