Iteration	pt	walk
0	1.0	0.0
1	0.9298245614035088	0.07017543859649122
2	0.868421052631579	0.13157894736842105
3	0.7982456140350878	0.20175438596491227
4	0.7456140350877193	0.2543859649122807
5	0.6929824561403509	0.30701754385964913
6	0.6491228070175439	0.3508771929824561
7	0.6403508771929824	0.35964912280701755
8	0.5789473684210527	0.42105263157894735
9	0.6052631578947368	0.39473684210526316
10	0.5526315789473685	0.4473684210526316
11	0.5087719298245614	0.49122807017543857
12	0.5614035087719298	0.43859649122807015
13	0.45614035087719296	0.543859649122807
14	0.45614035087719296	0.543859649122807
15	0.41228070175438597	0.5877192982456141
16	0.4649122807017544	0.5350877192982456
17	0.4649122807017544	0.5350877192982456
18	0.4649122807017544	0.5350877192982456
19	0.42105263157894735	0.5789473684210527
20	0.5175438596491229	0.4824561403508772
